country_code,subdivision_name,code,subdivision_code_only
AD,Andorra la Vella,AD-07,07
AD,Canillo,AD-02,02
AD,Encamp,AD-03,03
AD,Escaldes-Engordany,AD-08,08
AD,La Massana,AD-04,04
AD,Ordino,AD-05,05
AD,Sant Julia de Loria,AD-06,06
AE,'Ajman,AE-AJ,AJ
AE,Abu Zaby,AE-AZ,AZ
AE,Al Fujayrah,AE-FU,FU
AE,Ash Shariqah,AE-SH,SH
AE,Dubayy,AE-DU,DU
AE,Ra's al Khaymah,AE-RK,RK
AE,Umm al Qaywayn,AE-UQ,UQ
AF,Badakhshan,AF-BDS,BDS
AF,Badghis,AF-BDG,BDG
AF,Baghlan,AF-BGL,BGL
AF,Balkh,AF-BAL,BAL
AF,Bamyan,AF-BAM,BAM
AF,Daykundi,AF-DAY,DAY
AF,Farah,AF-FRA,FRA
AF,Faryab,AF-FYB,FYB
AF,Ghazni,AF-GHA,GHA
AF,Helmand,AF-HEL,HEL
AF,Herat,AF-HER,HER
AF,Jowzjan,AF-JOW,JOW
AF,Kabul,AF-KAB,KAB
AF,Kandahar,AF-KAN,KAN
AF,Khost,AF-KHO,KHO
AF,Kunar,AF-KNR,KNR
AF,Kunduz,AF-KDZ,KDZ
AF,Laghman,AF-LAG,LAG
AF,Logar,AF-LOG,LOG
AF,Nangarhar,AF-NAN,NAN
AF,Nimroz,AF-NIM,NIM
AF,Paktika,AF-PKA,PKA
AF,Paktiya,AF-PIA,PIA
AF,Panjshayr,AF-PAN,PAN
AF,Parwan,AF-PAR,PAR
AF,Sar-e Pul,AF-SAR,SAR
AF,Takhar,AF-TAK,TAK
AF,Uruzgan,AF-URU,URU
AF,Wardak,AF-WAR,WAR
AG,Barbuda,AG-10,10
AG,Redonda,AG-11,11
AG,Saint George,AG-03,03
AG,Saint John,AG-04,04
AG,Saint Mary,AG-05,05
AG,Saint Paul,AG-06,06
AG,Saint Peter,AG-07,07
AG,Saint Philip,AG-08,08
AI,Anguilla,-,
AL,Berat,AL-01,01
AL,Diber,AL-09,09
AL,Durres,AL-02,02
AL,Elbasan,AL-03,03
AL,Fier,AL-04,04
AL,Gjirokaster,AL-05,05
AL,Korce,AL-06,06
AL,Kukes,AL-07,07
AL,Lezhe,AL-08,08
AL,Shkoder,AL-10,10
AL,Tirane,AL-11,11
AL,Vlore,AL-12,12
AM,Aragacotn,AM-AG,AG
AM,Ararat,AM-AR,AR
AM,Armavir,AM-AV,AV
AM,Erevan,AM-ER,ER
AM,Gegark'unik',AM-GR,GR
AM,Kotayk',AM-KT,KT
AM,Lori,AM-LO,LO
AM,Sirak,AM-SH,SH
AM,Syunik',AM-SU,SU
AM,Tavus,AM-TV,TV
AM,Vayoc Jor,AM-VD,VD
AO,Bengo,AO-BGO,BGO
AO,Benguela,AO-BGU,BGU
AO,Bie,AO-BIE,BIE
AO,Cabinda,AO-CAB,CAB
AO,Cuando Cubango,AO-CCU,CCU
AO,Cuanza-Norte,AO-CNO,CNO
AO,Cuanza-Sul,AO-CUS,CUS
AO,Cunene,AO-CNN,CNN
AO,Huambo,AO-HUA,HUA
AO,Huila,AO-HUI,HUI
AO,Luanda,AO-LUA,LUA
AO,Lunda-Norte,AO-LNO,LNO
AO,Lunda-Sul,AO-LSU,LSU
AO,Malange,AO-MAL,MAL
AO,Moxico,AO-MOX,MOX
AO,Namibe,AO-NAM,NAM
AO,Uige,AO-UIG,UIG
AO,Zaire,AO-ZAI,ZAI
AQ,Antarctica,-,
AR,Buenos Aires,AR-B,B
AR,Catamarca,AR-K,K
AR,Chaco,AR-H,H
AR,Chubut,AR-U,U
AR,Ciudad Autonoma de Buenos Aires,AR-C,C
AR,Cordoba,AR-X,X
AR,Corrientes,AR-W,W
AR,Entre Rios,AR-E,E
AR,Formosa,AR-P,P
AR,Jujuy,AR-Y,Y
AR,La Pampa,AR-L,L
AR,La Rioja,AR-F,F
AR,Mendoza,AR-M,M
AR,Misiones,AR-N,N
AR,Neuquen,AR-Q,Q
AR,Rio Negro,AR-R,R
AR,Salta,AR-A,A
AR,San Juan,AR-J,J
AR,San Luis,AR-D,D
AR,Santa Cruz,AR-Z,Z
AR,Santa Fe,AR-S,S
AR,Santiago del Estero,AR-G,G
AR,Tierra del Fuego,AR-V,V
AR,Tucuman,AR-T,T
AS,Eastern District,-,
AS,Western District,-,
AT,Burgenland,AT-1,1
AT,Karnten,AT-2,2
AT,Niederosterreich,AT-3,3
AT,Oberosterreich,AT-4,4
AT,Salzburg,AT-5,5
AT,Steiermark,AT-6,6
AT,Tirol,AT-7,7
AT,Vorarlberg,AT-8,8
AT,Wien,AT-9,9
AU,Australian Capital Territory,AU-ACT,ACT
AU,New South Wales,AU-NSW,NSW
AU,Northern Territory,AU-NT,NT
AU,Queensland,AU-QLD,QLD
AU,South Australia,AU-SA,SA
AU,Tasmania,AU-TAS,TAS
AU,Victoria,AU-VIC,VIC
